source,relation,target
Seafarers  International Union,has article related to,Ship
Roman Gralewicz,has article related to,Ship
Silkworms,has article related to,Ship
U.S. Concern,has article related to,Ship
U.S. State Department,has article related to,Ship
the British Broadcasting Corp,has article related to,Ship
Trave  Ore,has article related to,Ship
The Trave Ore,has article related to,Ship
Higher Education Teachers,has article related to,Ship
the Liberal Front Party,has article related to,Ship
PFL,has article related to,Ship
the Education Ministry,has article related to,Ship
Wellington Harbour Board Workers Union,has article related to,Ship
Marlborough  Harbour Board,has article related to,Ship
The Waterside Workers Federation,has article related to,Ship
the  Waterfront Employers Association,has article related to,Ship
Schoufour,has article related to,Ship
U.S. Army Corps of Engineers,has article related to,Ship
